algorithm,scenario,mean_reward,std_reward,mean_episode_length,mean_unmet_ml,mean_energy_cost,failure_rate
dqn,normal,401.1814703657866,56.85586554097758,86.45,0.27754576976077894,27.79421633897502,0.25
dqn,drought,373.8789544255909,93.7033892802604,86.75,0.7131684391570674,27.29779068769801,0.2
dqn,demand_surge,280.33072545767976,145.23337610993872,73.35,1.6116508351151548,26.939320459716253,0.55
dqn,high_leakage,397.1367586128672,88.1081804971561,87.25,0.5147381530960097,26.700031204423937,0.1
dqn,plant_outage,230.20975447630013,143.36635626303058,57.1,0.8477738092139571,14.178412987744377,0.75
dqn,mixed,159.49969304417846,90.49164078223977,54.4,2.0163311978799903,19.942487725310365,1.0
reinforce,normal,388.17090541814537,57.847503750745645,85.1,0.37062333007636983,26.99280773007576,0.35
reinforce,drought,369.45331203725783,94.06948347731546,86.3,0.7731679240779072,27.15245946793906,0.3
reinforce,demand_surge,260.15532554793015,138.18578040942268,70.3,1.7142990906753284,25.240831476659718,0.6
reinforce,high_leakage,389.88181629070533,87.35196714460842,86.85,0.6052548582326729,26.189501736248637,0.2
reinforce,plant_outage,200.28032988726252,105.9254613475194,53.6,0.991462956863163,12.04681065952297,0.95
reinforce,mixed,158.14864663810437,94.97127673525993,53.55,2.0295678854766313,19.684115831536232,1.0
ppo,normal,398.7926428484413,44.52208762826711,87.9,0.29001782790712577,27.164139539314,0.3
ppo,drought,386.122993442772,73.54430895949285,88.95,0.4139347605855628,27.03248131980494,0.15
ppo,demand_surge,271.0227806033901,136.67249750685951,76.95,2.0705654474041864,27.111048675590133,0.55
ppo,high_leakage,410.7639547628734,46.789621428711875,89.1,0.22667268990516587,25.46046963836782,0.05
ppo,plant_outage,228.59745906615694,132.68408380502717,61.75,1.0528799869707295,14.177384636839557,0.65
ppo,mixed,185.96076006354573,132.90820314438741,75.15,3.5527586945771246,26.41432571815874,0.6
a2c,normal,390.486579519902,60.042898617217425,85.1,0.37062333007636983,26.839520273605803,0.35
a2c,drought,368.82093231672854,94.56621712698808,86.25,0.7895201149550658,27.001586092191445,0.3
a2c,demand_surge,261.19587778739117,140.1728774282399,70.2,1.7188808053654536,24.998347859905046,0.6
a2c,high_leakage,388.9831978218025,87.6316693350546,86.7,0.6060273796266926,25.963395708034085,0.2
a2c,plant_outage,199.9237923486968,105.04413090033984,53.4,1.0026375637909872,11.974539002480057,1.0
a2c,mixed,156.47241615436377,92.75963604211474,53.15,2.015326336317846,19.542464242432466,1.0
