episode,timesteps,reward,length
1,90.0,414.973262,90.0
2,180.0,415.117437,90.0
3,270.0,421.389536,90.0
4,360.0,412.523737,90.0
5,450.0,373.560392,90.0
6,540.0,391.000426,90.0
7,630.0,422.012538,90.0
8,720.0,422.10856,90.0
9,810.0,390.58838,90.0
10,900.0,409.285368,90.0
11,990.0,406.789318,90.0
12,1080.0,397.651529,90.0
13,1170.0,423.765988,90.0
14,1260.0,376.998397,90.0
15,1350.0,406.001041,90.0
16,1440.0,424.791602,90.0
17,1530.0,419.327439,90.0
18,1620.0,416.675428,90.0
19,1710.0,416.357783,90.0
20,1800.0,406.379226,90.0
21,1890.0,410.834846,90.0
22,1980.0,418.390772,90.0
23,2070.0,416.595671,90.0
24,2160.0,420.465537,90.0
25,2250.0,420.921425,90.0
26,2340.0,415.433792,90.0
27,2430.0,422.766413,90.0
28,2520.0,415.747907,90.0
29,2610.0,421.20592,90.0
30,2700.0,396.700769,90.0
31,2790.0,410.959184,90.0
32,2880.0,417.563223,90.0
33,2970.0,421.894512,90.0
34,3060.0,417.889698,90.0
35,3150.0,407.881705,90.0
36,3240.0,416.719058,90.0
37,3330.0,400.234654,90.0
38,3420.0,401.885578,90.0
39,3510.0,416.093948,90.0
40,3600.0,410.083911,90.0
41,3690.0,410.401876,90.0
42,3780.0,395.341639,90.0
43,3870.0,409.329806,90.0
44,3960.0,422.019872,90.0
45,4050.0,404.636933,90.0
46,4140.0,405.56614,90.0
47,4230.0,406.512131,90.0
48,4320.0,423.438743,90.0
49,4410.0,422.087388,90.0
50,4500.0,423.764271,90.0
51,4590.0,415.246385,90.0
52,4680.0,387.30543,90.0
53,4770.0,421.968325,90.0
54,4860.0,399.376244,90.0
55,4950.0,407.040753,90.0
56,5040.0,392.506025,90.0
57,5130.0,423.524218,90.0
58,5220.0,420.747561,90.0
59,5310.0,407.647691,90.0
60,5400.0,400.315069,90.0
61,5490.0,403.425078,90.0
62,5580.0,403.65286,90.0
63,5670.0,418.314157,90.0
64,5760.0,410.70664,90.0
65,5850.0,406.365241,90.0
66,5940.0,425.750794,90.0
67,6030.0,411.3378,90.0
68,6120.0,402.836289,90.0
69,6210.0,383.4455,90.0
70,6300.0,414.743465,90.0
71,6390.0,409.429588,90.0
72,6480.0,417.558874,90.0
73,6570.0,407.826437,90.0
74,6660.0,415.841919,90.0
75,6750.0,415.744949,90.0
76,6840.0,391.971616,90.0
77,6930.0,410.383068,90.0
78,7020.0,408.539549,90.0
79,7110.0,407.050252,90.0
80,7200.0,405.27337,90.0
81,7290.0,400.611257,90.0
82,7380.0,418.087631,90.0
83,7470.0,398.700754,90.0
84,7560.0,418.652291,90.0
85,7650.0,427.418857,90.0
86,7740.0,405.32111,90.0
87,7830.0,418.220076,90.0
88,7920.0,410.237298,90.0
89,8010.0,403.975661,90.0
90,8100.0,418.263642,90.0
91,8190.0,407.199804,90.0
92,8280.0,412.525616,90.0
93,8370.0,417.147779,90.0
94,8460.0,425.943331,90.0
95,8550.0,424.160216,90.0
96,8640.0,395.703178,90.0
97,8730.0,396.780188,90.0
98,8820.0,414.40997,90.0
99,8910.0,422.266788,90.0
100,9000.0,407.077603,90.0
101,9090.0,412.655789,90.0
102,9180.0,421.552047,90.0
103,9270.0,409.038562,90.0
104,9360.0,422.243446,90.0
105,9450.0,414.198382,90.0
106,9540.0,407.316428,90.0
107,9630.0,419.643357,90.0
108,9720.0,414.856858,90.0
109,9810.0,412.933773,90.0
110,9900.0,422.676802,90.0
111,9990.0,416.620441,90.0
112,10080.0,419.1639,90.0
113,10170.0,421.798378,90.0
114,10260.0,383.407661,90.0
115,10350.0,421.255834,90.0
116,10440.0,422.780452,90.0
117,10530.0,415.742284,90.0
118,10620.0,413.849864,90.0
119,10710.0,423.899238,90.0
120,10800.0,423.886672,90.0
121,10890.0,424.285826,90.0
122,10980.0,414.799252,90.0
123,11070.0,407.14167,90.0
124,11160.0,373.217052,90.0
125,11250.0,405.825777,90.0
126,11340.0,405.279274,90.0
127,11430.0,405.389611,90.0
128,11520.0,410.54865,90.0
129,11610.0,410.937036,90.0
130,11700.0,421.081529,90.0
131,11790.0,417.21033,90.0
132,11880.0,401.94179,90.0
133,11970.0,420.604302,90.0
134,12060.0,416.330826,90.0
135,12150.0,419.223616,90.0
136,12240.0,418.194032,90.0
137,12330.0,402.814784,90.0
138,12420.0,414.41634,90.0
139,12510.0,423.577354,90.0
140,12600.0,419.866702,90.0
141,12690.0,409.923471,90.0
142,12780.0,407.316275,90.0
143,12870.0,424.040117,90.0
144,12960.0,418.604594,90.0
145,13050.0,416.797788,90.0
146,13140.0,401.096968,90.0
147,13230.0,382.782662,90.0
148,13320.0,378.328471,90.0
149,13410.0,414.572696,90.0
150,13500.0,418.930687,90.0
151,13590.0,376.428423,90.0
152,13680.0,404.548619,90.0
153,13770.0,422.460795,90.0
154,13860.0,421.428604,90.0
155,13950.0,428.682411,90.0
156,14040.0,403.73045,90.0
157,14130.0,410.673709,90.0
158,14220.0,417.062372,90.0
159,14310.0,408.023301,90.0
160,14400.0,417.997115,90.0
161,14490.0,407.754971,90.0
162,14580.0,420.452753,90.0
163,14670.0,414.216186,90.0
164,14760.0,402.938472,90.0
165,14850.0,414.018272,90.0
166,14940.0,415.714452,90.0
167,15030.0,378.294225,90.0
168,15120.0,408.293356,90.0
169,15210.0,430.84056,90.0
170,15300.0,416.997757,90.0
171,15390.0,405.594816,90.0
172,15480.0,404.075358,90.0
173,15570.0,403.882251,90.0
174,15660.0,414.832149,90.0
175,15750.0,417.418486,90.0
176,15840.0,411.135393,90.0
177,15930.0,405.549115,90.0
178,16020.0,408.327082,90.0
179,16110.0,421.953197,90.0
180,16200.0,402.723275,90.0
181,16290.0,416.950074,90.0
182,16380.0,396.093108,90.0
183,16470.0,419.055256,90.0
184,16560.0,404.5719,90.0
185,16650.0,410.548567,90.0
186,16740.0,399.788317,90.0
187,16830.0,408.099761,90.0
188,16920.0,422.196476,90.0
189,17010.0,417.594329,90.0
190,17100.0,418.477257,90.0
191,17190.0,400.796224,90.0
192,17280.0,419.363711,90.0
193,17370.0,416.694393,90.0
194,17460.0,406.119775,90.0
195,17550.0,421.148799,90.0
196,17640.0,416.634658,90.0
197,17730.0,416.740461,90.0
198,17820.0,422.13225,90.0
199,17910.0,387.103178,90.0
200,18000.0,414.779034,90.0
201,18090.0,404.368813,90.0
202,18180.0,380.177322,90.0
203,18270.0,399.193041,90.0
204,18360.0,427.730863,90.0
205,18450.0,419.139792,90.0
206,18540.0,411.14572,90.0
207,18630.0,416.762514,90.0
208,18720.0,414.240261,90.0
209,18810.0,388.384015,90.0
210,18900.0,407.016527,90.0
211,18990.0,403.215104,90.0
212,19080.0,408.548311,90.0
213,19170.0,425.87942,90.0
214,19260.0,400.719141,90.0
215,19350.0,403.201919,90.0
216,19440.0,415.95344,90.0
217,19530.0,424.052014,90.0
218,19620.0,413.856824,90.0
219,19710.0,406.400562,90.0
220,19800.0,403.631386,90.0
221,19890.0,404.907947,90.0
222,19980.0,403.572348,90.0
223,20070.0,398.303877,90.0
224,20160.0,418.437727,90.0
225,20250.0,399.567381,90.0
226,20340.0,412.990512,90.0
227,20430.0,426.533526,90.0
228,20520.0,416.517108,90.0
229,20610.0,410.480647,90.0
230,20700.0,420.515444,90.0
231,20790.0,394.379893,90.0
232,20880.0,404.160291,90.0
233,20970.0,418.245921,90.0
234,21060.0,401.541215,90.0
235,21150.0,421.582065,90.0
236,21240.0,427.23121,90.0
237,21330.0,425.953339,90.0
238,21420.0,419.784616,90.0
239,21510.0,381.69086,90.0
240,21600.0,416.577626,90.0
241,21690.0,408.725532,90.0
242,21780.0,403.864713,90.0
243,21870.0,420.556855,90.0
244,21960.0,382.774227,90.0
245,22050.0,411.864835,90.0
246,22140.0,420.709496,90.0
247,22230.0,423.618455,90.0
248,22320.0,416.669229,90.0
249,22410.0,401.580516,90.0
250,22500.0,419.782772,90.0
251,22590.0,381.44693,90.0
252,22680.0,418.004276,90.0
253,22770.0,397.514967,90.0
254,22860.0,421.833573,90.0
255,22950.0,404.392074,90.0
256,23040.0,422.37981,90.0
257,23130.0,361.124751,90.0
258,23220.0,415.209923,90.0
259,23310.0,414.000121,90.0
260,23400.0,403.436379,90.0
261,23490.0,419.386516,90.0
262,23580.0,409.268195,90.0
263,23670.0,425.446921,90.0
264,23760.0,414.683934,90.0
265,23850.0,422.851642,90.0
266,23940.0,407.076735,90.0
267,24030.0,412.117303,90.0
268,24120.0,421.782798,90.0
269,24210.0,425.211552,90.0
270,24300.0,428.86638,90.0
271,24390.0,422.498098,90.0
272,24480.0,406.332311,90.0
273,24570.0,393.148027,90.0
274,24660.0,414.654402,90.0
275,24750.0,420.256804,90.0
276,24840.0,420.459425,90.0
277,24930.0,410.841393,90.0
