episode,timesteps,reward,length
1,90.0,430.413889,90.0
2,180.0,405.500862,90.0
3,270.0,421.617973,90.0
4,360.0,407.226936,90.0
5,450.0,420.161279,90.0
6,540.0,381.713683,90.0
7,630.0,417.80868,90.0
8,720.0,398.776157,90.0
9,810.0,403.273881,90.0
10,900.0,404.4104,90.0
11,990.0,427.058599,90.0
12,1080.0,397.073937,90.0
13,1170.0,360.757949,90.0
14,1260.0,419.496332,90.0
15,1350.0,402.261872,90.0
16,1440.0,430.351951,90.0
17,1530.0,386.176634,90.0
18,1620.0,395.68354,90.0
19,1710.0,399.735271,90.0
20,1800.0,411.009688,90.0
21,1890.0,395.810916,90.0
22,1980.0,398.973503,90.0
23,2070.0,389.273908,90.0
24,2160.0,401.094688,90.0
25,2250.0,407.743353,90.0
26,2340.0,382.328549,90.0
27,2430.0,399.896168,90.0
28,2520.0,416.693232,90.0
29,2610.0,371.680107,90.0
30,2700.0,415.501373,90.0
31,2790.0,408.622568,90.0
32,2880.0,420.716362,90.0
33,2970.0,406.845926,90.0
34,3060.0,407.544016,90.0
35,3150.0,437.811479,90.0
36,3240.0,309.028767,90.0
37,3330.0,311.738174,90.0
38,3420.0,432.831694,90.0
39,3510.0,275.98268,90.0
40,3600.0,431.054644,90.0
41,3690.0,436.849953,90.0
42,3780.0,261.852981,90.0
43,3870.0,398.577891,90.0
44,3960.0,396.982971,90.0
45,4039.0,293.556506,79.0
46,4129.0,428.170482,90.0
47,4219.0,431.585288,90.0
48,4309.0,402.331313,90.0
49,4399.0,423.660811,90.0
50,4489.0,428.540494,90.0
51,4579.0,408.843448,90.0
52,4669.0,360.35173,90.0
53,4759.0,415.326203,90.0
54,4849.0,410.04085,90.0
55,4939.0,351.378164,90.0
56,5029.0,431.350081,90.0
57,5119.0,391.714329,90.0
58,5163.0,148.461714,44.0
59,5253.0,412.534397,90.0
60,5343.0,357.837101,90.0
61,5433.0,381.820614,90.0
62,5523.0,429.794596,90.0
63,5613.0,369.917753,90.0
64,5703.0,438.1464,90.0
65,5793.0,382.410676,90.0
66,5883.0,351.802438,90.0
67,5925.0,143.750845,42.0
68,6015.0,421.770682,90.0
69,6041.0,80.05077,26.0
70,6100.0,186.180631,59.0
71,6190.0,404.452504,90.0
72,6280.0,340.594224,90.0
73,6370.0,374.466128,90.0
74,6460.0,411.047637,90.0
75,6548.0,214.586302,88.0
76,6638.0,210.719811,90.0
77,6728.0,368.40155,90.0
78,6818.0,310.630328,90.0
79,6908.0,430.531917,90.0
80,6939.0,89.380593,31.0
81,6989.0,136.736008,50.0
82,7048.0,207.19245,59.0
83,7138.0,194.704732,90.0
84,7228.0,383.665586,90.0
85,7318.0,407.369859,90.0
86,7408.0,415.183817,90.0
87,7498.0,384.236392,90.0
88,7587.0,369.85463,89.0
89,7677.0,423.472399,90.0
90,7767.0,418.202853,90.0
91,7857.0,300.847171,90.0
92,7947.0,396.251435,90.0
93,8037.0,399.133507,90.0
94,8084.0,171.860331,47.0
95,8174.0,404.852796,90.0
96,8264.0,397.37575,90.0
97,8341.0,317.824811,77.0
98,8383.0,150.759941,42.0
99,8473.0,357.152072,90.0
100,8516.0,161.317262,43.0
101,8603.0,345.323125,87.0
102,8634.0,91.672717,31.0
103,8674.0,138.838856,40.0
104,8764.0,411.633034,90.0
105,8837.0,294.311435,73.0
106,8880.0,139.939204,43.0
107,8970.0,391.390439,90.0
108,9060.0,380.93711,90.0
109,9150.0,402.771694,90.0
110,9240.0,398.807957,90.0
111,9330.0,254.914762,90.0
112,9420.0,228.330541,90.0
113,9458.0,127.601139,38.0
114,9511.0,135.931911,53.0
115,9587.0,309.951953,76.0
116,9614.0,83.325079,27.0
117,9704.0,407.006041,90.0
118,9770.0,258.019704,66.0
119,9860.0,430.778292,90.0
120,9950.0,411.621688,90.0
121,10040.0,420.188799,90.0
122,10094.0,204.824741,54.0
123,10137.0,136.035273,43.0
124,10227.0,405.277275,90.0
125,10317.0,394.789428,90.0
126,10407.0,392.408089,90.0
127,10445.0,128.939283,38.0
128,10527.0,150.37288,82.0
129,10617.0,382.086604,90.0
130,10707.0,381.018705,90.0
131,10797.0,399.140839,90.0
132,10887.0,438.992071,90.0
133,10977.0,365.956467,90.0
134,11067.0,407.437289,90.0
135,11157.0,403.936277,90.0
136,11247.0,358.434764,90.0
137,11315.0,255.328875,68.0
138,11405.0,411.70241,90.0
139,11495.0,403.550927,90.0
140,11585.0,397.355377,90.0
141,11675.0,395.240982,90.0
142,11765.0,391.312749,90.0
143,11855.0,416.509614,90.0
144,11945.0,404.148798,90.0
145,12035.0,336.934931,90.0
146,12125.0,398.846541,90.0
147,12215.0,396.506876,90.0
148,12305.0,408.750668,90.0
149,12395.0,353.293545,90.0
150,12485.0,425.073268,90.0
151,12575.0,343.695133,90.0
152,12665.0,384.038129,90.0
153,12755.0,433.084001,90.0
154,12808.0,200.900874,53.0
155,12898.0,410.449771,90.0
156,12988.0,399.872135,90.0
157,13078.0,407.796311,90.0
158,13168.0,409.433046,90.0
159,13258.0,409.542417,90.0
160,13348.0,431.915875,90.0
161,13438.0,382.86433,90.0
162,13528.0,379.191179,90.0
163,13618.0,402.727339,90.0
164,13708.0,361.904042,90.0
165,13798.0,389.353944,90.0
