run,learning_rate,gamma,buffer_size,batch_size,exploration_fraction,exploration_final_eps,target_update_interval,mean_reward,std_reward,mean_episode_length,mean_unmet_ml,mean_energy_cost,failure_rate
1,0.0001,0.95,5000,32,0.3,0.08,500,405.73290497973386,65.61602040233481,88.33333333333333,0.43576884178201586,26.548307115768868,0.16666666666666666
2,0.0003,0.97,10000,64,0.4,0.05,750,393.2761331849553,62.508435225741245,88.16666666666667,0.5960364962223368,26.14657072187202,0.3333333333333333
3,0.0005,0.99,10000,64,0.5,0.03,1000,392.8721328324015,5.220526731077178,90.0,0.0,24.442238972932078,0.0
4,0.001,0.99,15000,128,0.35,0.05,500,399.99859440602853,61.572235331393564,88.33333333333333,0.38861541311173803,27.47360463514504,0.16666666666666666
5,5e-05,0.995,15000,128,0.7,0.02,1500,220.4936438588819,100.7641524915795,56.0,0.7607592273090131,12.395125827045746,0.9166666666666666
6,0.0002,0.9,5000,32,0.2,0.1,250,402.51635437469594,79.62637742256351,89.16666666666667,0.599418400202982,26.72228956501982,0.16666666666666666
7,0.0007,0.97,12500,64,0.6,0.01,1000,414.7513720615136,62.39686433258306,89.16666666666667,0.40776666639556164,27.20995578076534,0.16666666666666666
8,0.0001,0.999,20000,256,0.55,0.04,2000,420.19877521332256,66.29058608198663,89.75,0.3660588367007043,28.083351793192737,0.08333333333333333
9,0.0003,0.93,7500,64,0.25,0.15,400,413.5041478686262,64.46712320402355,89.75,0.36758940103517473,27.73973217826614,0.08333333333333333
10,0.0008,0.995,17500,128,0.65,0.02,1250,411.7859141986382,28.529202257940902,90.0,0.13893510409899235,27.35918341024491,0.0
