episode,timesteps,reward,length
1,90.0,418.092671,90.0
2,180.0,425.273278,90.0
3,270.0,415.943085,90.0
4,360.0,398.252964,90.0
5,450.0,406.688026,90.0
6,540.0,398.857185,90.0
7,630.0,415.129013,90.0
8,720.0,410.856068,90.0
9,810.0,405.490611,90.0
10,900.0,423.867731,90.0
11,990.0,423.498826,90.0
12,1080.0,407.518028,90.0
13,1170.0,383.531954,90.0
14,1260.0,414.61195,90.0
15,1350.0,417.673152,90.0
16,1440.0,418.743888,90.0
17,1530.0,410.420098,90.0
18,1620.0,408.161474,90.0
19,1710.0,413.268749,90.0
20,1800.0,420.601747,90.0
21,1890.0,413.008667,90.0
22,1980.0,418.821547,90.0
23,2070.0,411.428337,90.0
24,2160.0,416.839702,90.0
25,2250.0,413.346871,90.0
26,2340.0,415.065661,90.0
27,2430.0,413.559056,90.0
28,2520.0,384.806164,90.0
29,2610.0,425.757122,90.0
30,2700.0,422.746446,90.0
31,2790.0,427.220449,90.0
32,2880.0,414.640449,90.0
33,2970.0,403.060978,90.0
34,3060.0,424.257652,90.0
35,3150.0,419.190628,90.0
36,3240.0,417.253922,90.0
37,3330.0,412.464093,90.0
38,3420.0,405.215983,90.0
39,3510.0,417.099648,90.0
40,3600.0,413.96968,90.0
41,3690.0,406.439363,90.0
42,3780.0,407.144161,90.0
43,3870.0,389.612627,90.0
44,3960.0,407.9747,90.0
45,4050.0,422.431532,90.0
46,4140.0,411.177526,90.0
47,4230.0,413.970273,90.0
48,4320.0,408.699429,90.0
49,4410.0,422.719107,90.0
50,4500.0,404.45423,90.0
51,4590.0,411.048883,90.0
52,4680.0,409.39581,90.0
53,4770.0,406.568708,90.0
54,4860.0,428.643651,90.0
55,4950.0,404.009752,90.0
56,5040.0,414.695467,90.0
57,5130.0,427.696533,90.0
58,5220.0,418.414589,90.0
59,5310.0,403.965402,90.0
60,5400.0,419.356054,90.0
61,5490.0,417.788208,90.0
62,5580.0,424.231539,90.0
63,5670.0,412.064405,90.0
64,5760.0,412.980937,90.0
65,5850.0,398.789112,90.0
66,5940.0,415.084402,90.0
67,6030.0,424.260729,90.0
68,6120.0,427.645597,90.0
69,6210.0,424.616994,90.0
70,6300.0,425.316141,90.0
71,6390.0,426.973275,90.0
72,6480.0,425.732326,90.0
73,6570.0,408.557255,90.0
74,6660.0,412.424633,90.0
75,6750.0,403.421842,90.0
76,6840.0,411.146828,90.0
77,6930.0,425.06099,90.0
78,7020.0,405.993065,90.0
79,7110.0,406.941331,90.0
80,7200.0,416.324031,90.0
81,7290.0,420.378054,90.0
82,7380.0,424.725104,90.0
83,7470.0,429.707909,90.0
84,7560.0,409.57385,90.0
