run,learning_rate,gamma,n_steps,batch_size,gae_lambda,clip_range,ent_coef,mean_reward,std_reward,mean_episode_length,mean_unmet_ml,mean_energy_cost,failure_rate
1,0.0001,0.95,128,32,0.9,0.1,0.0,405.73290497973386,65.61602040233481,88.33333333333333,0.43576884178201586,26.548307115768868,0.16666666666666666
2,0.0003,0.97,256,64,0.95,0.2,0.005,414.7812584128642,19.55732097643723,90.0,0.04945539557958367,26.639820146313635,0.0
3,0.0005,0.99,256,64,0.98,0.2,0.01,418.83590097285565,25.408814802320236,90.0,0.0942727694858716,26.603570169904717,0.0
4,0.001,0.99,128,64,0.95,0.3,0.01,403.5618771769752,64.47415425162164,88.33333333333333,0.43576884178201586,26.784068790142044,0.16666666666666666
5,5e-05,0.995,512,128,0.99,0.1,0.02,244.54479409429464,124.7570387587181,59.0,0.7678316219103335,13.910599431358925,0.8333333333333334
6,0.0002,0.9,64,32,0.85,0.25,0.0,338.23319831360504,105.67516950597044,86.16666666666667,1.384061605081123,23.878026747207176,0.5
7,0.0007,0.97,256,32,0.92,0.15,0.03,394.69984239974923,45.86655984205693,89.41666666666667,0.3798462088867689,26.243865676389436,0.16666666666666666
8,0.0001,0.999,512,64,0.99,0.2,0.015,231.20718631045665,116.67989676307684,58.0,0.6846739882187731,12.882080805541195,0.8333333333333334
9,0.0003,0.93,128,32,0.88,0.3,0.04,342.4039883863566,103.71907152700965,88.33333333333333,1.3980658488973319,25.172532600441883,0.4166666666666667
10,0.0008,0.995,256,128,0.97,0.12,0.005,402.64911230736226,77.24900762674167,89.41666666666667,0.616251540393649,27.644955738227353,0.16666666666666666
