episode,timesteps,reward,length
1,90.0,406.604694,90.0
2,180.0,424.155386,90.0
3,270.0,413.258836,90.0
4,360.0,432.914329,90.0
5,450.0,396.998981,90.0
6,540.0,417.298908,90.0
7,630.0,402.178425,90.0
8,720.0,417.994771,90.0
9,810.0,413.515026,90.0
10,900.0,410.849634,90.0
11,990.0,423.097944,90.0
12,1080.0,401.692156,90.0
13,1170.0,406.029017,90.0
14,1260.0,407.22672,90.0
15,1350.0,408.575871,90.0
16,1440.0,420.087501,90.0
17,1530.0,414.004877,90.0
18,1620.0,436.04288,90.0
19,1710.0,403.972731,90.0
20,1800.0,412.922583,90.0
21,1890.0,425.936268,90.0
22,1980.0,413.195141,90.0
23,2070.0,416.113171,90.0
24,2160.0,425.46393,90.0
25,2250.0,427.425713,90.0
26,2340.0,418.087234,90.0
27,2430.0,402.464847,90.0
28,2520.0,403.851306,90.0
29,2610.0,401.539302,90.0
30,2700.0,408.115518,90.0
31,2790.0,400.571834,90.0
32,2880.0,374.242295,90.0
33,2970.0,417.15608,90.0
34,3060.0,408.831137,90.0
35,3150.0,411.558961,90.0
36,3240.0,411.988545,90.0
37,3330.0,408.489953,90.0
38,3420.0,421.171817,90.0
39,3510.0,415.609238,90.0
40,3600.0,404.518339,90.0
41,3690.0,399.858054,90.0
42,3780.0,417.515148,90.0
43,3870.0,427.056399,90.0
44,3960.0,421.292466,90.0
45,4050.0,418.930538,90.0
46,4140.0,391.025435,90.0
47,4230.0,422.788252,90.0
48,4320.0,402.2421,90.0
49,4410.0,413.325523,90.0
50,4500.0,391.499325,90.0
51,4590.0,428.134069,90.0
52,4680.0,399.913687,90.0
53,4770.0,367.122314,90.0
54,4860.0,414.158366,90.0
55,4950.0,397.315349,90.0
56,5040.0,425.099412,90.0
57,5130.0,419.715876,90.0
58,5220.0,415.581454,90.0
59,5310.0,426.777149,90.0
60,5400.0,406.016418,90.0
61,5490.0,431.187217,90.0
62,5580.0,418.903222,90.0
63,5670.0,424.87795,90.0
64,5760.0,418.98524,90.0
65,5850.0,423.215876,90.0
66,5940.0,417.358255,90.0
67,6030.0,407.501559,90.0
68,6120.0,411.528122,90.0
69,6210.0,414.246001,90.0
70,6300.0,411.67612,90.0
71,6390.0,425.936586,90.0
72,6480.0,424.565857,90.0
73,6570.0,418.415995,90.0
74,6660.0,404.45187,90.0
75,6750.0,424.439844,90.0
76,6840.0,393.088813,90.0
77,6930.0,414.213993,90.0
78,7020.0,420.714977,90.0
79,7110.0,420.158228,90.0
80,7200.0,414.92361,90.0
81,7290.0,428.835567,90.0
82,7380.0,411.484098,90.0
83,7470.0,426.805759,90.0
84,7560.0,418.160787,90.0
85,7650.0,427.064397,90.0
86,7740.0,423.264571,90.0
87,7830.0,428.858873,90.0
88,7920.0,410.801497,90.0
89,8010.0,417.048702,90.0
90,8100.0,436.746123,90.0
91,8190.0,422.347871,90.0
92,8280.0,432.984932,90.0
93,8370.0,430.903159,90.0
94,8460.0,413.214632,90.0
95,8550.0,417.751608,90.0
96,8640.0,427.101114,90.0
97,8730.0,421.96413,90.0
98,8820.0,424.79918,90.0
99,8910.0,423.376183,90.0
100,9000.0,423.933859,90.0
101,9090.0,429.419257,90.0
102,9180.0,427.834147,90.0
103,9270.0,425.245028,90.0
104,9360.0,413.733471,90.0
105,9450.0,419.613456,90.0
106,9540.0,416.246103,90.0
107,9630.0,420.167107,90.0
108,9720.0,434.536847,90.0
109,9810.0,424.205858,90.0
110,9900.0,412.05692,90.0
111,9990.0,427.093023,90.0
112,10080.0,426.972804,90.0
113,10170.0,422.743797,90.0
114,10260.0,420.708299,90.0
115,10350.0,425.121553,90.0
116,10440.0,421.153875,90.0
117,10530.0,423.227204,90.0
118,10620.0,400.902689,90.0
119,10710.0,420.792844,90.0
120,10800.0,410.467674,90.0
121,10890.0,431.055992,90.0
122,10980.0,432.055833,90.0
123,11070.0,434.706532,90.0
124,11160.0,427.445377,90.0
125,11250.0,421.556052,90.0
126,11340.0,430.519538,90.0
127,11430.0,440.088939,90.0
128,11520.0,418.605911,90.0
129,11610.0,408.63,90.0
130,11700.0,423.377875,90.0
131,11790.0,412.531169,90.0
132,11880.0,428.035813,90.0
133,11970.0,359.626611,90.0
134,12060.0,425.935636,90.0
135,12150.0,433.828673,90.0
136,12240.0,420.475056,90.0
137,12330.0,433.132409,90.0
138,12420.0,426.440231,90.0
139,12510.0,424.28728,90.0
140,12600.0,425.253256,90.0
141,12690.0,407.864445,90.0
142,12780.0,432.323918,90.0
143,12870.0,414.348486,90.0
144,12960.0,412.070615,90.0
145,13050.0,419.283151,90.0
146,13140.0,407.560972,90.0
